group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,1.0,0.0,0.0,0.0,1.0,9.0,6.0
A,South Africa,0.0,1.0,0.0,0.0,1.0,4.0,-1.0
A,South Korea,0.0,0.0,1.0,0.0,0.0,3.0,-1.0
A,Czech Republic,0.0,0.0,0.0,1.0,0.0,1.0,-4.0
B,Switzerland,1.0,0.0,0.0,0.0,1.0,7.0,4.0
B,Canada,0.0,1.0,0.0,0.0,1.0,4.0,5.0
B,Bosnia and Herzegovina,0.0,0.0,1.0,0.0,0.0,4.0,-1.0
B,Qatar,0.0,0.0,0.0,1.0,0.0,1.0,-8.0
C,Brazil,1.0,0.0,0.0,0.0,1.0,7.0,6.0
C,Morocco,0.0,1.0,0.0,0.0,1.0,7.0,3.0
C,Scotland,0.0,0.0,1.0,0.0,0.0,3.0,-3.0
C,Haiti,0.0,0.0,0.0,1.0,0.0,0.0,-6.0
D,United States,1.0,0.0,0.0,0.0,1.0,6.0,4.0
D,Australia,0.0,1.0,0.0,0.0,1.0,4.0,0.0
D,Paraguay,0.0,0.0,1.0,0.0,0.0,4.0,-2.0
D,Turkey,0.0,0.0,0.0,1.0,0.0,3.0,-2.0
E,Germany,1.0,0.0,0.0,0.0,1.0,6.0,6.0
E,Ivory Coast,0.0,1.0,0.0,0.0,1.0,6.0,2.0
E,Ecuador,0.0,0.0,1.0,0.0,0.0,4.0,0.0
E,Curaçao,0.0,0.0,0.0,1.0,0.0,1.0,-8.0
F,Netherlands,1.0,0.0,0.0,0.0,1.0,7.0,6.0
F,Japan,0.0,1.0,0.0,0.0,1.0,5.0,4.0
F,Sweden,0.0,0.0,1.0,0.0,0.0,4.0,0.0
F,Tunisia,0.0,0.0,0.0,1.0,0.0,0.0,-10.0
G,Belgium,1.0,0.0,0.0,0.0,1.0,5.0,4.0
G,Egypt,0.0,1.0,0.0,0.0,1.0,5.0,2.0
G,Iran,0.0,0.0,1.0,0.0,0.0,3.0,0.0
G,New Zealand,0.0,0.0,0.0,1.0,0.0,1.0,-6.0
H,Spain,1.0,0.0,0.0,0.0,1.0,7.0,5.0
H,Cape Verde,0.0,1.0,0.0,0.0,1.0,3.0,0.0
H,Saudi Arabia,0.0,0.0,0.0,1.0,0.0,2.0,-4.0
H,Uruguay,0.0,0.0,1.0,0.0,0.0,2.0,-1.0
I,France,1.0,0.0,0.0,0.0,1.0,9.0,8.0
I,Norway,0.0,1.0,0.0,0.0,1.0,6.0,1.0
I,Senegal,0.0,0.0,1.0,0.0,0.0,3.0,2.0
I,Iraq,0.0,0.0,0.0,1.0,0.0,0.0,-11.0
J,Argentina,0.999,0.001,0.0,0.0,1.0,8.55,7.13
J,Austria,0.001,0.762,0.231,0.006,0.763,4.43,0.16
J,Algeria,0.0,0.237,0.741,0.021,0.237,4.14,-2.16
J,Jordan,0.0,0.0,0.027,0.973,0.0,0.32,-5.13
K,Portugal,0.513,0.481,0.005,0.0,0.995,5.8,5.62
K,Colombia,0.487,0.513,0.0,0.0,1.0,6.95,2.38
K,DR Congo,0.0,0.005,0.773,0.222,0.005,2.87,-0.24
K,Uzbekistan,0.0,0.0,0.222,0.778,0.0,0.9,-7.76
L,England,0.853,0.146,0.001,0.0,0.999,6.58,4.24
L,Croatia,0.097,0.445,0.448,0.01,0.542,4.92,-0.26
L,Ghana,0.05,0.409,0.541,0.0,0.459,4.79,0.26
L,Panama,0.0,0.0,0.01,0.99,0.0,0.3,-4.24
