group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,1.0,0.0,0.0,0.0,1.0,9.0,6.0
A,South Africa,0.0,1.0,0.0,0.0,1.0,4.0,-1.0
A,South Korea,0.0,0.0,1.0,0.0,0.0,3.0,-1.0
A,Czech Republic,0.0,0.0,0.0,1.0,0.0,1.0,-4.0
B,Switzerland,1.0,0.0,0.0,0.0,1.0,7.0,4.0
B,Canada,0.0,1.0,0.0,0.0,1.0,4.0,5.0
B,Bosnia and Herzegovina,0.0,0.0,1.0,0.0,0.0,4.0,-1.0
B,Qatar,0.0,0.0,0.0,1.0,0.0,1.0,-8.0
C,Brazil,1.0,0.0,0.0,0.0,1.0,7.0,6.0
C,Morocco,0.0,1.0,0.0,0.0,1.0,7.0,3.0
C,Scotland,0.0,0.0,1.0,0.0,0.0,3.0,-3.0
C,Haiti,0.0,0.0,0.0,1.0,0.0,0.0,-6.0
D,United States,0.991,0.009,0.0,0.0,1.0,7.4,5.03
D,Australia,0.007,0.656,0.271,0.066,0.663,4.29,-0.04
D,Paraguay,0.001,0.336,0.546,0.117,0.337,4.36,-1.96
D,Turkey,0.0,0.0,0.183,0.817,0.0,1.36,-3.03
E,Germany,0.996,0.004,0.0,0.0,1.0,7.51,7.22
E,Ivory Coast,0.004,0.883,0.088,0.025,0.887,5.34,1.49
E,Curaçao,0.0,0.064,0.104,0.832,0.064,1.46,-7.49
E,Ecuador,0.0,0.049,0.808,0.143,0.049,2.17,-1.22
F,Netherlands,0.57,0.421,0.009,0.0,0.991,6.21,5.27
F,Japan,0.351,0.423,0.226,0.0,0.774,5.81,4.67
F,Sweden,0.079,0.156,0.765,0.0,0.235,3.95,-0.67
F,Tunisia,0.0,0.0,0.0,1.0,0.0,0.58,-9.27
G,Egypt,0.534,0.195,0.271,0.0,0.729,5.28,1.93
G,Belgium,0.276,0.543,0.112,0.069,0.819,4.43,1.76
G,Iran,0.189,0.206,0.576,0.029,0.395,3.39,0.07
G,New Zealand,0.0,0.057,0.041,0.902,0.057,1.41,-3.76
H,Spain,0.797,0.132,0.07,0.0,0.93,5.81,4.61
H,Uruguay,0.175,0.11,0.647,0.068,0.285,2.9,-0.61
H,Cape Verde,0.027,0.51,0.218,0.244,0.538,3.39,0.08
H,Saudi Arabia,0.0,0.247,0.065,0.687,0.247,2.27,-4.08
I,France,0.726,0.274,0.0,0.0,1.0,7.66,5.45
I,Norway,0.274,0.726,0.0,0.0,1.0,7.08,3.55
I,Senegal,0.0,0.0,0.861,0.139,0.0,2.07,-2.01
I,Iraq,0.0,0.0,0.139,0.861,0.0,0.67,-6.99
J,Argentina,0.999,0.001,0.0,0.0,1.0,8.67,7.34
J,Austria,0.001,0.673,0.322,0.004,0.674,4.44,0.11
J,Algeria,0.0,0.326,0.661,0.013,0.326,4.27,-2.11
J,Jordan,0.0,0.0,0.017,0.983,0.0,0.21,-5.34
K,Colombia,0.635,0.365,0.0,0.0,1.0,7.34,2.97
K,Portugal,0.365,0.633,0.002,0.0,0.998,5.38,5.03
K,DR Congo,0.0,0.002,0.742,0.255,0.002,2.5,-0.78
K,Uzbekistan,0.0,0.0,0.255,0.745,0.0,1.13,-7.22
L,England,0.817,0.182,0.001,0.0,0.999,6.5,3.86
L,Croatia,0.129,0.456,0.405,0.01,0.585,5.01,-0.08
L,Ghana,0.053,0.362,0.584,0.0,0.416,4.73,0.08
L,Panama,0.0,0.0,0.01,0.99,0.0,0.34,-3.86
