group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.973,0.027,0.0,0.0,1.0,8.41,4.68
A,South Korea,0.027,0.797,0.163,0.013,0.824,5.01,0.9
A,South Africa,0.0,0.147,0.327,0.526,0.147,1.73,-2.9
A,Czech Republic,0.0,0.029,0.51,0.461,0.029,1.42,-2.68
B,Canada,0.687,0.313,0.0,0.0,1.0,5.48,6.18
B,Switzerland,0.313,0.683,0.004,0.0,0.996,5.23,2.82
B,Bosnia and Herzegovina,0.0,0.004,0.631,0.366,0.004,2.28,-3.08
B,Qatar,0.0,0.0,0.365,0.634,0.0,2.41,-5.92
C,Brazil,0.454,0.349,0.156,0.041,0.803,5.42,2.48
C,Morocco,0.369,0.382,0.192,0.057,0.752,5.18,2.07
C,Scotland,0.167,0.245,0.536,0.052,0.412,4.44,-0.86
C,Haiti,0.01,0.023,0.116,0.85,0.033,1.03,-3.69
D,Australia,0.488,0.405,0.097,0.01,0.893,6.29,2.79
D,United States,0.477,0.383,0.129,0.011,0.86,5.79,3.11
D,Turkey,0.022,0.133,0.445,0.4,0.155,2.56,-2.21
D,Paraguay,0.014,0.079,0.328,0.579,0.092,2.19,-3.69
E,Germany,0.63,0.245,0.122,0.002,0.876,6.18,6.65
E,Ivory Coast,0.333,0.481,0.18,0.007,0.814,6.09,1.56
E,Ecuador,0.035,0.254,0.602,0.109,0.289,3.56,0.29
E,Curaçao,0.002,0.02,0.096,0.882,0.022,1.12,-8.5
F,Japan,0.403,0.365,0.185,0.046,0.768,5.31,2.28
F,Netherlands,0.357,0.379,0.208,0.056,0.736,5.16,2.05
F,Sweden,0.23,0.244,0.505,0.021,0.474,4.46,2.18
F,Tunisia,0.009,0.013,0.102,0.877,0.022,1.11,-6.51
G,Iran,0.331,0.262,0.24,0.167,0.593,3.99,0.39
G,Belgium,0.33,0.265,0.236,0.169,0.595,4.21,0.69
G,Egypt,0.193,0.249,0.266,0.292,0.442,3.56,-0.19
G,New Zealand,0.147,0.224,0.258,0.371,0.371,3.05,-0.9
H,Spain,0.613,0.232,0.118,0.037,0.845,5.38,2.5
H,Uruguay,0.243,0.345,0.271,0.141,0.589,3.89,0.24
H,Saudi Arabia,0.079,0.202,0.326,0.392,0.281,2.85,-1.54
H,Cape Verde,0.064,0.221,0.285,0.43,0.285,2.88,-1.2
I,France,0.714,0.255,0.029,0.002,0.969,7.31,4.37
I,Norway,0.265,0.519,0.21,0.006,0.784,5.26,2.37
I,Senegal,0.018,0.206,0.572,0.204,0.224,3.1,-1.45
I,Iraq,0.003,0.02,0.189,0.789,0.023,1.28,-5.29
J,Argentina,0.872,0.116,0.01,0.001,0.989,7.73,6.09
J,Austria,0.116,0.624,0.247,0.013,0.74,4.93,0.79
J,Algeria,0.009,0.226,0.456,0.31,0.235,3.0,-2.59
J,Jordan,0.003,0.034,0.287,0.677,0.036,1.35,-4.29
K,Colombia,0.763,0.175,0.053,0.009,0.939,6.84,3.59
K,Portugal,0.159,0.404,0.287,0.149,0.564,3.81,0.15
K,DR Congo,0.058,0.226,0.362,0.354,0.284,2.84,-1.29
K,Uzbekistan,0.02,0.195,0.298,0.487,0.214,2.38,-2.45
L,England,0.895,0.083,0.019,0.003,0.978,7.52,4.68
L,Ghana,0.062,0.352,0.464,0.122,0.414,4.19,-1.44
L,Croatia,0.03,0.443,0.281,0.246,0.473,3.5,-0.92
L,Panama,0.013,0.121,0.236,0.63,0.134,1.79,-2.33
