group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,1.0,0.0,0.0,0.0,1.0,9.0,6.0
A,South Africa,0.0,1.0,0.0,0.0,1.0,4.0,-1.0
A,South Korea,0.0,0.0,1.0,0.0,0.0,3.0,-1.0
A,Czech Republic,0.0,0.0,0.0,1.0,0.0,1.0,-4.0
B,Switzerland,1.0,0.0,0.0,0.0,1.0,7.0,4.0
B,Canada,0.0,1.0,0.0,0.0,1.0,4.0,5.0
B,Bosnia and Herzegovina,0.0,0.0,1.0,0.0,0.0,4.0,-1.0
B,Qatar,0.0,0.0,0.0,1.0,0.0,1.0,-8.0
C,Brazil,1.0,0.0,0.0,0.0,1.0,7.0,6.0
C,Morocco,0.0,1.0,0.0,0.0,1.0,7.0,3.0
C,Scotland,0.0,0.0,1.0,0.0,0.0,3.0,-3.0
C,Haiti,0.0,0.0,0.0,1.0,0.0,0.0,-6.0
D,United States,0.998,0.002,0.0,0.0,1.0,7.81,5.68
D,Australia,0.001,0.661,0.298,0.039,0.663,4.14,-0.16
D,Paraguay,0.0,0.337,0.604,0.059,0.337,4.44,-1.84
D,Turkey,0.0,0.0,0.098,0.902,0.0,0.97,-3.68
E,Germany,0.992,0.008,0.0,0.0,1.0,8.11,8.24
E,Ivory Coast,0.008,0.93,0.053,0.009,0.938,5.61,2.29
E,Curaçao,0.0,0.042,0.088,0.869,0.042,1.27,-8.29
E,Ecuador,0.0,0.02,0.859,0.122,0.02,1.7,-2.24
F,Netherlands,0.813,0.185,0.002,0.0,0.998,6.72,6.71
F,Japan,0.161,0.627,0.212,0.0,0.788,5.82,4.64
F,Sweden,0.026,0.188,0.786,0.0,0.214,3.91,-0.64
F,Tunisia,0.0,0.0,0.0,1.0,0.0,0.19,-10.71
G,Egypt,0.576,0.213,0.211,0.0,0.789,5.52,2.24
G,Belgium,0.329,0.559,0.067,0.046,0.887,4.59,2.28
G,Iran,0.095,0.185,0.693,0.027,0.28,3.12,-0.24
G,New Zealand,0.0,0.044,0.029,0.927,0.044,1.29,-4.28
H,Spain,0.863,0.085,0.052,0.0,0.948,6.15,5.16
H,Uruguay,0.108,0.072,0.702,0.117,0.181,2.62,-1.16
H,Cape Verde,0.028,0.555,0.194,0.223,0.584,3.45,0.13
H,Saudi Arabia,0.0,0.287,0.053,0.66,0.287,2.27,-4.13
I,France,0.802,0.198,0.0,0.0,1.0,7.97,5.96
I,Norway,0.198,0.802,0.0,0.0,1.0,6.81,3.04
I,Senegal,0.0,0.0,0.927,0.073,0.0,2.5,-1.01
I,Iraq,0.0,0.0,0.073,0.927,0.0,0.36,-7.99
J,Argentina,0.999,0.001,0.0,0.0,1.0,8.55,7.15
J,Austria,0.001,0.753,0.239,0.007,0.754,4.43,0.15
J,Algeria,0.0,0.246,0.732,0.022,0.246,4.16,-2.15
J,Jordan,0.0,0.0,0.028,0.972,0.0,0.32,-5.15
K,Portugal,0.518,0.476,0.006,0.0,0.994,5.81,5.65
K,Colombia,0.482,0.518,0.0,0.0,1.0,6.94,2.35
K,DR Congo,0.0,0.006,0.775,0.22,0.006,2.87,-0.23
K,Uzbekistan,0.0,0.0,0.22,0.78,0.0,0.89,-7.77
L,England,0.85,0.148,0.002,0.0,0.998,6.57,4.27
L,Croatia,0.098,0.442,0.449,0.011,0.54,4.91,-0.26
L,Ghana,0.051,0.41,0.539,0.0,0.461,4.8,0.26
L,Panama,0.0,0.0,0.011,0.989,0.0,0.31,-4.27
