group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.973,0.027,0.0,0.0,1.0,8.41,4.68
A,South Korea,0.027,0.797,0.163,0.013,0.825,5.01,0.9
A,South Africa,0.0,0.146,0.327,0.526,0.146,1.73,-2.9
A,Czech Republic,0.0,0.029,0.51,0.461,0.029,1.42,-2.68
B,Canada,0.687,0.313,0.0,0.0,1.0,5.48,6.18
B,Switzerland,0.313,0.683,0.004,0.0,0.996,5.23,2.82
B,Bosnia and Herzegovina,0.0,0.004,0.631,0.365,0.004,2.28,-3.08
B,Qatar,0.0,0.0,0.365,0.635,0.0,2.41,-5.92
C,Brazil,0.662,0.228,0.11,0.0,0.89,6.17,4.16
C,Morocco,0.301,0.678,0.021,0.0,0.979,6.3,2.38
C,Scotland,0.037,0.094,0.849,0.02,0.131,3.6,-1.16
C,Haiti,0.0,0.0,0.02,0.98,0.0,0.5,-5.38
D,United States,0.995,0.005,0.0,0.0,1.0,7.84,5.68
D,Australia,0.004,0.714,0.26,0.022,0.718,4.54,0.26
D,Paraguay,0.0,0.282,0.631,0.087,0.282,4.15,-2.26
D,Turkey,0.0,0.0,0.11,0.89,0.0,0.9,-3.68
E,Germany,0.629,0.246,0.123,0.002,0.875,6.17,6.64
E,Ivory Coast,0.333,0.481,0.18,0.007,0.813,6.09,1.56
E,Ecuador,0.036,0.254,0.602,0.109,0.29,3.56,0.3
E,Curaçao,0.002,0.02,0.095,0.883,0.022,1.12,-8.5
F,Japan,0.403,0.365,0.186,0.046,0.769,5.31,2.29
F,Netherlands,0.359,0.379,0.207,0.055,0.737,5.17,2.06
F,Sweden,0.229,0.243,0.506,0.021,0.473,4.46,2.18
F,Tunisia,0.009,0.013,0.101,0.877,0.021,1.1,-6.52
G,Iran,0.331,0.262,0.24,0.167,0.593,3.99,0.4
G,Belgium,0.329,0.265,0.236,0.169,0.594,4.2,0.69
G,Egypt,0.193,0.249,0.265,0.293,0.442,3.56,-0.18
G,New Zealand,0.147,0.224,0.258,0.371,0.371,3.05,-0.9
H,Spain,0.614,0.231,0.118,0.037,0.845,5.38,2.5
H,Uruguay,0.243,0.346,0.27,0.142,0.589,3.88,0.24
H,Saudi Arabia,0.079,0.203,0.327,0.392,0.281,2.85,-1.54
H,Cape Verde,0.065,0.22,0.286,0.429,0.285,2.88,-1.2
I,France,0.714,0.255,0.029,0.002,0.969,7.31,4.37
I,Norway,0.265,0.52,0.209,0.006,0.785,5.26,2.37
I,Senegal,0.018,0.205,0.574,0.203,0.223,3.1,-1.45
I,Iraq,0.003,0.02,0.188,0.789,0.023,1.28,-5.29
J,Argentina,0.872,0.117,0.011,0.001,0.989,7.73,6.09
J,Austria,0.117,0.623,0.247,0.013,0.74,4.94,0.8
J,Algeria,0.009,0.226,0.455,0.31,0.235,3.0,-2.59
J,Jordan,0.003,0.034,0.287,0.677,0.036,1.35,-4.3
K,Colombia,0.763,0.175,0.053,0.009,0.938,6.84,3.59
K,Portugal,0.159,0.405,0.287,0.149,0.564,3.81,0.15
K,DR Congo,0.058,0.226,0.361,0.355,0.284,2.84,-1.3
K,Uzbekistan,0.02,0.195,0.298,0.487,0.215,2.38,-2.44
L,England,0.895,0.083,0.019,0.003,0.978,7.52,4.69
L,Ghana,0.062,0.353,0.464,0.121,0.415,4.19,-1.44
L,Croatia,0.03,0.443,0.281,0.247,0.472,3.49,-0.93
L,Panama,0.013,0.121,0.237,0.629,0.134,1.8,-2.32
